usertype,zip_code_start,borough_start,neighborhood_start,zip_code_end,borough_end,neighborhood_end,start_day,stop_day,day_mean_temperature,day_mean_wind_speed,day_total_precipitation,trip_minutes,trip_count
Subscriber,11101,Queens,Northwest Queens,11101,Queens,Northwest Queens,19/09/2020,19/09/2020,74.7,1.8,0,10,111
Subscriber,11101,Queens,Northwest Queens,11101,Queens,Northwest Queens,14/08/2020,14/08/2020,77.1,2.2,0,0,16
Subscriber,11222,Brooklyn,Greenpoint,11211,Brooklyn,Greenpoint,19/10/2020,19/10/2020,42.9,2.2,0,0,30
Customer,11221,Brooklyn,Bushwick and Williamsburg,11211,Brooklyn,Greenpoint,08/11/2020,08/11/2020,51.9,4,0,20,3
Subscriber,11206,Brooklyn,Bushwick and Williamsburg,11211,Brooklyn,Greenpoint,01/11/2020,01/11/2020,57.9,3.9,0,10,19
Subscriber,11206,Brooklyn,Bushwick and Williamsburg,11206,Brooklyn,Bushwick and Williamsburg,18/09/2020,18/09/2020,76.3,2.4,0,0,41
Customer,11101,Queens,Northwest Queens,11101,Queens,Northwest Queens,31/08/2020,02/09/2020,81.7,3.8,0.13,2180,1
Subscriber,11101,Queens,Northwest Queens,11101,Queens,Northwest Queens,11/08/2020,11/08/2020,74.9,3.9,0.59,50,1
Subscriber,10021,Manhattan,Upper East Side,10023,Manhattan,Upper West Side,06/11/2020,06/11/2020,69.4,3.7,0.01,20,8
Subscriber,10075,Manhattan,Upper East Side,10075,Manhattan,Upper East Side,17/11/2020,17/11/2020,47.5,6.4,0,0,15
Subscriber,10075,Manhattan,Upper East Side,10167,Manhattan,Gramercy Park and Murray Hill,06/11/2020,06/11/2020,69.4,3.7,0.01,20,2
Customer,11222,Brooklyn,Greenpoint,11101,Queens,Northwest Queens,30/08/2020,30/08/2020,79.1,3.3,0,20,6
Customer,11101,Queens,Northwest Queens,11101,Queens,Northwest Queens,03/11/2020,03/11/2020,60.6,1.6,0,20,6
Subscriber,11206,Brooklyn,Bushwick and Williamsburg,11206,Brooklyn,Bushwick and Williamsburg,30/10/2020,30/10/2020,55.8,5.4,0.04,0,46
Subscriber,11206,Brooklyn,Bushwick and Williamsburg,11211,Brooklyn,Greenpoint,16/09/2020,16/09/2020,75.8,1.5,0,10,12
Subscriber,10021,Manhattan,Upper East Side,10023,Manhattan,Upper West Side,30/11/2020,30/11/2020,39.4,6,0,10,19
Subscriber,11222,Brooklyn,Greenpoint,11211,Brooklyn,Greenpoint,02/09/2020,02/09/2020,81.1,1.8,0,0,42
Subscriber,10128,Manhattan,Upper East Side,10075,Manhattan,Upper East Side,18/10/2020,18/10/2020,43.5,5,0,10,2
Subscriber,10028,Manhattan,Upper East Side,10028,Manhattan,Upper East Side,27/12/2020,27/12/2020,52,4.5,0.12,10,9
Subscriber,10021,Manhattan,Upper East Side,10023,Manhattan,Upper West Side,07/10/2020,07/10/2020,64.9,2.5,0,10,27
Subscriber,11206,Brooklyn,Bushwick and Williamsburg,11206,Brooklyn,Bushwick and Williamsburg,24/08/2020,24/08/2020,78.2,2.1,0,20,1
Customer,11206,Brooklyn,Bushwick and Williamsburg,11206,Brooklyn,Bushwick and Williamsburg,18/09/2020,18/09/2020,76.3,2.4,0,0,3
Subscriber,10028,Manhattan,Upper East Side,10028,Manhattan,Upper East Side,31/12/2020,31/12/2020,46.5,3,0.19,0,25
Subscriber,11222,Brooklyn,Greenpoint,10038,Manhattan,Lower Manhattan,23/11/2020,23/11/2020,39.8,5.6,0,30,1
Subscriber,10021,Manhattan,Upper East Side,10075,Manhattan,Upper East Side,08/10/2020,08/10/2020,63.8,2.9,0,100,1
Subscriber,10128,Manhattan,Upper East Side,10128,Manhattan,Upper East Side,23/10/2020,23/10/2020,58.8,5,0,40,2
Customer,11206,Brooklyn,Bushwick and Williamsburg,11206,Brooklyn,Bushwick and Williamsburg,04/12/2020,04/12/2020,46.4,4.5,0,30,2
